course,prerequisite,group
CSE 123,,fund
CSE 311,CSE 123,fund
CSE 312,CSE 311,fund
CSE 331,CSE 123,fund
CSE 332,CSE 331,fund
CSE 351,CSE 123,fund
CSE 421,CSE 312,data_science
CSE 421,CSE 332,data_science
CSE 442,CSE 332,data_science
CSE 444,CSE 332,data_science
CSE 344,,data_science
CSE 444,CSE 344,data_science
STAT 391,CSE 312,data_science
CSE 446,CSE 332,data_science
CSE 446,STAT 391,data_science
MATH 208,,data_science
CSE 446,MATH 208,data_science
CSE 446,CSE 312,data_science
SOC 225,,data_science
